OTU_num,Genus_Attribution,Using_maxAccepts10_Jan2017_USEARCH_highestPercIDMatch_againstRefSeqsSpanningAMFOTURegion,Attribution_from_USEARCH_or_phylogeny
289,Diversispora,98,U
481,Diversispora,84,U
496,Diversispora,94,U
638,Diversispora,,P
682,Diversispora,94,U
769,Diversispora,86,U
854,Diversispora,67,U
858,Diversispora,94,U
1005,Diversispora,99,U
1037,Diversispora,78,U
1162,Diversispora,94,U
85,Acaulospora,97,U
168,Acaulospora,94,U
339,Acaulospora,97,U
490,Acaulospora,93,U
526,Acaulospora,96,U
564,Acaulospora,91,U
610,Acaulospora,95,U
653,Acaulospora,94,U
696,Acaulospora,99,U
725,Acaulospora,95,U
736,Acaulospora,94,U
797,Acaulospora,99,U
836,Acaulospora,93,U
1050,Acaulospora,95,U
1109,Acaulospora,100,U
462,Scutellospora,99,U
973,Scutellospora,97,U
927,Cetraspora,97,U
378,Gigaspora,98,U
1035,Gigaspora,98,U
8,Claroideoglomus,98,U
88,Claroideoglomus,81,U
104,Claroideoglomus,78,U
190,Claroideoglomus,77,U
220,Claroideoglomus,78,U
255,Claroideoglomus,99,U
441,Claroideoglomus,95,U
469,Claroideoglomus,82,U
521,Claroideoglomus,,P
540,Claroideoglomus,80,U
651,Claroideoglomus,,P
655,Claroideoglomus,80,U
706,Claroideoglomus,83,U
1175,Claroideoglomus,97,U
33,Glomeraceae,,P
36,Glomeraceae,,P
43,Glomeraceae,,P
45,Glomeraceae,,P
46,Glomeraceae,,P
48,Glomeraceae,,P
55,Glomeraceae,85,U
58,Glomeraceae,,P
73,Glomeraceae,,P
89,Glomeraceae,,P
90,Glomeraceae,,P
98,Glomeraceae,89,U
106,Glomeraceae,,P
109,Glomeraceae,,P
122,Glomeraceae,,P
129,Glomeraceae,87,U
140,Glomeraceae,86,U
145,Glomeraceae,,P
151,Glomeraceae,,P
152,Glomeraceae,,P
153,Glomeraceae,86,U
171,Glomeraceae,,P
185,Glomeraceae,,P
209,Glomeraceae,89,U
227,Glomeraceae,,P
229,Glomeraceae,,P
293,Glomeraceae,,P
295,Glomeraceae,85,U
302,Glomeraceae,,P
306,Glomeraceae,,P
326,Glomeraceae,,P
403,Glomeraceae,,P
477,Glomeraceae,,P
516,Glomeraceae,,P
523,Glomeraceae,83,U
528,Glomeraceae,,P
542,Glomeraceae,86,U
572,Glomeraceae,86,U
586,Glomeraceae,,P
591,Glomeraceae,,P
608,Glomeraceae,,P
675,Glomeraceae,85,U
683,Glomeraceae,83,U
717,Glomeraceae,84,U
745,Glomeraceae,84,U
765,Glomeraceae,,P
807,Glomeraceae,,P
824,Glomeraceae,85,U
872,Glomeraceae,,P
908,Glomeraceae,88,U
945,Glomeraceae,88,U
954,Glomeraceae,,P
975,Glomeraceae,84,U
1018,Glomeraceae,,P
1030,Glomeraceae,85,U
1086,Glomeraceae,,P
1190,Glomeraceae,,P
110,Glomus,88,U
136,Glomus,89,U
194,Glomus,98,U
210,Glomus,87,U
242,Glomus,89,U
248,Glomus,86,U
277,Glomus,82,U
372,Glomus,90,U
585,Glomus,99,U
671,Glomus,87,U
704,Glomus,,P
715,Glomus,88,U
737,Glomus,,P
820,Glomus,88,U
822,Glomus,,P
831,Glomus,90,U
1022,Glomus,77,U
1111,Glomus,72,U
1114,Glomus,,P
1131,Glomus,89,U
1169,Glomus,74,U
135,Funneliformis,99,U
593,Funneliformis,97,U
646,Funneliformis,94,U
96,Septoglomus,,P
113,Septoglomus,98,U
141,Septoglomus,91,U
391,Septoglomus,90,U
499,Septoglomus,,P
624,Septoglomus,,P
666,Septoglomus,95,U
703,Septoglomus,87,U
849,Septoglomus,89,U
946,Septoglomus,89,U
1077,Septoglomus,89,U
1081,Septoglomus,91,U
14,Rhizoglomus,98,U
30,Rhizoglomus,98,U
40,Rhizoglomus,88,U
44,Rhizoglomus,98,U
63,Rhizoglomus,99,U
84,Rhizoglomus,88,U
100,Rhizoglomus,98,U
111,Rhizoglomus,96,U
121,Rhizoglomus,99,U
126,Rhizoglomus,87,U
139,Rhizoglomus,99,U
154,Rhizoglomus,90,U
159,Rhizoglomus,97,U
164,Rhizoglomus,89,U
173,Rhizoglomus,93,U
181,Rhizoglomus,98,U
189,Rhizoglomus,90,U
232,Rhizoglomus,93,U
233,Rhizoglomus,90,U
247,Rhizoglomus,87,U
249,Rhizoglomus,,P
280,Rhizoglomus,97,U
281,Rhizoglomus,94,U
299,Rhizoglomus,86,U
347,Rhizoglomus,100,U
359,Rhizoglomus,96,U
364,Rhizoglomus,92,U
384,Rhizoglomus,98,U
386,Rhizoglomus,87,U
396,Rhizoglomus,87,U
404,Rhizoglomus,98,U
452,Rhizoglomus,88,U
483,Rhizoglomus,94,U
534,Rhizoglomus,98,U
552,Rhizoglomus,97,U
607,Rhizoglomus,95,U
613,Rhizoglomus,93,U
649,Rhizoglomus,99,U
668,Rhizoglomus,89,U
673,Rhizoglomus,88,U
678,Rhizoglomus,99,U
690,Rhizoglomus,97,U
694,Rhizoglomus,98,U
710,Rhizoglomus,90,U
754,Rhizoglomus,93,U
762,Rhizoglomus,92,U
800,Rhizoglomus,92,U
823,Rhizoglomus,96,U
834,Rhizoglomus,98,U
875,Rhizoglomus,87,U
883,Rhizoglomus,87,U
941,Rhizoglomus,90,U
1019,Rhizoglomus,88,U
1227,Rhizoglomus,99,U
1231,Rhizoglomus,99,U
486,Ambispora,92,U
1097,Ambispora,98,U
239,Archaeospora,77,U
81,Paraglomus,93,U
213,Paraglomus,99,U
470,Paraglomus,,P
