CoordinatedSampleNumber	Site	State	Disturbed_Remnant	Known_History_Of_Tilling_Or_Construction	Avg_latitude	Avg_longitude	PRISM_annualMinTemp_Deg_C	PRISM_annualMeanTemp_Deg_C	PRISM_annualMaxTemp_Deg_C	PRISM_annualPrecip_inCM	Calc_EstimatedRatio_PrecipToET	Calc_EstimatedAnnual_ET_inCM	NOAA_meanAnnualTemp_degC	NOAA_AnnualPrecip_mm	NOAA_GrowingSeasonAprOct_Precip_mm	NOAA_Annual_ETo_mm	NOAA_GrowingSeasonAprOct_ETo_mm	CropCoeff_forNOAA_ETo	NOAA_Annual_PET_mm	NOAA_GrowingSeasonAprOct_PET_mm	NOAA_aridityIndex_P.PET	NOAA_GrowingSeasonAprOct_aridityIndex_P.PET	perc_OM	Bray1P_ppm	Bray2P_ppm	K_ppm	Mg_ppm	Ca_ppm	soil_pH	buffer_pH	CEC_meqPer100g	perc_K_sat	perc_Mg_sat	perc_Ca_sat	perc_H_sat	nitrate_ppm	ammonium_ppm	bicarbP_ppm	orgC_perc	Ntotal_perc	C_N
2	Klemme	OK	Disturbed	N	35.39507573	-99.06328218	8.840000153	15.60000038	22.35000038	77.17999878	0.81967515	63.26252709	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	Klemme	OK	Disturbed	N	35.39507573	-99.06328218	8.840000153	15.60000038	22.35000038	77.17999878	0.81967515	63.26252709	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	Klemme	OK	Disturbed	N	35.39507573	-99.06328218	8.840000153	15.60000038	22.35000038	77.17999878	0.81967515	63.26252709	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	Hays	KS	Disturbed	U	38.85727608	-99.38975858	4.679999828	12.07999992	19.46999931	59.99899902	0.85970745	51.58158648	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	3.9	5	20	317	120	2850	7.5	NA	16.1	5.1	6.2	88.7	NA	NA	NA	4	2.352	0.205	11.5
6	Hays	KS	Disturbed	U	38.85727608	-99.38975858	4.679999828	12.07999992	19.46999931	59.99899902	0.85970745	51.58158648	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	3.9	5	20	317	120	2850	7.5	NA	16.1	5.1	6.2	88.7	NA	NA	NA	4	2.352	0.205	11.5
7	Hays	KS	Disturbed	U	38.85727608	-99.38975858	4.679999828	12.07999992	19.46999931	59.99899902	0.85970745	51.58158648	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	3.9	5	20	317	120	2850	7.5	NA	16.1	5.1	6.2	88.7	NA	NA	NA	4	2.352	0.205	11.5
8	Hays	KS	Disturbed	U	38.85727608	-99.38975858	4.679999828	12.07999992	19.46999931	59.99899902	0.85970745	51.58158648	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	3.9	5	20	317	120	2850	7.5	NA	16.1	5.1	6.2	88.7	NA	NA	NA	4	2.352	0.205	11.5
9	Welda	KS	Disturbed	Y	38.17517917	-95.2734155	7.139999866	13.15999985	19.18000031	104.1140015	0.67279028	70.0468882	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	Welda	KS	Disturbed	Y	38.17517917	-95.2734155	7.139999866	13.15999985	19.18000031	104.1140015	0.67279028	70.0468882	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Konza	KS	Disturbed	Y	39.101306	-96.61068608	6.210000038	12.69999981	19.19000053	85.80999756	0.750584099	64.4076197	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5.6	8	19	296	450	2950	6.2	6.7	22.9	3.3	16.4	64.5	15.7	NA	NA	5	3.164	0.245	12.9
12	Konza	KS	Disturbed	Y	39.101306	-96.61068608	6.210000038	12.69999981	19.19000053	85.80999756	0.750584099	64.4076197	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5.6	8	19	296	450	2950	6.2	6.7	22.9	3.3	16.4	64.5	15.7	NA	NA	5	3.164	0.245	12.9
13	Klemme	OK	Disturbed	N	35.39507573	-99.06328218	8.840000153	15.60000038	22.35000038	77.17999878	0.81967515	63.26252709	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	Konza	KS	Disturbed	Y	39.101306	-96.61068608	6.210000038	12.69999981	19.19000053	85.80999756	0.750584099	64.4076197	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5.6	8	19	296	450	2950	6.2	6.7	22.9	3.3	16.4	64.5	15.7	NA	NA	5	3.164	0.245	12.9
16	Osage	MO	Disturbed	U	37.7531015	-94.32701867	7.329999924	13.39000034	19.44000053	115.9099976	0.630781081	73.11383351	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	3.7	9	10	61	150	2300	7.1	NA	12.9	1.2	9.7	89.1	NA	NA	NA	4	2.898	0.176	16.5
17	Osage	MO	Disturbed	U	37.7531015	-94.32701867	7.329999924	13.39000034	19.44000053	115.9099976	0.630781081	73.11383351	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	3.7	9	10	61	150	2300	7.1	NA	12.9	1.2	9.7	89.1	NA	NA	NA	4	2.898	0.176	16.5
18	Taberville	MO	Disturbed	U	38.03751	-93.966553	6.96999979	13.14000034	19.29999924	112.4589966	0.642654573	72.27228847	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	3.7	9	10	61	150	2300	7.1	NA	12.9	1.2	9.7	89.1	NA	NA	NA	4	2.898	0.176	16.5
19	WahKonTah	MO	Disturbed	U	37.918751	-94.0076355	7.150000095	13.27999973	19.40999985	117.526001	0.624602897	73.40708071	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	3.7	9	10	61	150	2300	7.1	NA	12.9	1.2	9.7	89.1	NA	NA	NA	4	2.898	0.176	16.5
20	Morris	MO	Disturbed	U	40.3836088	-92.9389252	4.730000019	10.57999992	16.43000031	101.802002	0.63525693	64.67042721	11.06219535	1124.8	839.26	1154.596	913.1662	0.85	981.4066	776.19127	1.146110083	1.081254109	5	11	13	132	265	1050	5.8	6.7	11.4	3	19.4	46.1	31.6	NA	NA	4	NA	NA	NA
21	Morris	MO	Disturbed	U	40.3836088	-92.9389252	4.730000019	10.57999992	16.43000031	101.802002	0.63525693	64.67042721	11.06219535	1124.8	839.26	1154.596	913.1662	0.85	981.4066	776.19127	1.146110083	1.081254109	5	11	13	132	265	1050	5.8	6.7	11.4	3	19.4	46.1	31.6	NA	NA	4	NA	NA	NA
22	Rockefeller	KS	Disturbed	Y	39.05142625	-95.19140575	6.860000134	12.72999954	18.60000038	99.16099854	0.683204588	67.74724913	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	Rockefeller	KS	Disturbed	Y	39.05142625	-95.19140575	6.860000134	12.72999954	18.60000038	99.16099854	0.683204588	67.74724913	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
25	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
26	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
27	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
28	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
29	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
